Matchid,Date,Home_id,Home_Name,Away_id,Away_Name,Home,Away,Round
1003111,01/09/2018,6770,Al-Ahli,6778,Al-Taawon,1,1,1
1003110,31/08/2018,6777,Al-Faisaly,9623,Al-Baten,2,2,1
1003238,30/08/2018,6846,Al-Hazm,6847,Al-Wahda,0,0,1
1003108,31/08/2018,1317,Al-Hilal,10483,Al-Feiha,1,0,1
1003104,30/08/2018,5680,Al-Ittifaq,6773,Al-Raed,1,1,1
1003107,31/08/2018,6775,Al-Quadisiya,6772,Al-Fateh,0,0,1
1003109,31/08/2018,6774,Al-Shabab,1316,Al-Ittihad,1,0,1
1003105,30/08/2018,9624,Ohod,6780,Al-Nassr,1,2,1
1003112,13/09/2018,6772,Al-Fateh,6847,Al-Wahda,0,0,2
1003116,14/09/2018,10483,Al-Feiha,6774,Al-Shabab,1,3,2
1003114,13/09/2018,6846,Al-Hazm,6778,Al-Taawon,1,1,2
1003228,13/09/2018,5680,Al-Ittifaq,9623,Al-Baten,3,2,2
1003119,15/09/2018,1316,Al-Ittihad,6775,Al-Quadisiya,0,3,2
1003115,14/09/2018,6780,Al-Nassr,6777,Al-Faisaly,2,1,2
1003117,15/09/2018,6773,Al-Raed,1317,Al-Hilal,1,3,2
1003118,14/09/2018,9624,Ohod,6770,Al-Ahli,0,2,2
1003126,21/09/2018,6770,Al-Ahli,6846,Al-Hazm,2,0,3
1003125,21/09/2018,6777,Al-Faisaly,9624,Ohod,2,0,3
1003124,20/09/2018,1317,Al-Hilal,9623,Al-Baten,3,1,3
1003123,21/09/2018,5680,Al-Ittifaq,10483,Al-Feiha,3,0,3
1003120,19/09/2018,6775,Al-Quadisiya,6780,Al-Nassr,0,3,3
1003121,20/09/2018,6774,Al-Shabab,6772,Al-Fateh,1,1,3
1003122,20/09/2018,6778,Al-Taawon,1316,Al-Ittihad,5,3,3
1003127,22/09/2018,6847,Al-Wahda,6773,Al-Raed,4,1,3
1003246,29/09/2018,6770,Al-Ahli,9623,Al-Baten,2,0,4
1003128,24/09/2018,6772,Al-Fateh,1317,Al-Hilal,2,3,4
1003133,28/09/2018,10483,Al-Feiha,6775,Al-Quadisiya,4,2,4
1003132,27/09/2018,6846,Al-Hazm,6777,Al-Faisaly,2,1,4
1003131,27/09/2018,5680,Al-Ittifaq,9624,Ohod,0,0,4
1003130,26/09/2018,1316,Al-Ittihad,6847,Al-Wahda,2,2,4
1003129,24/09/2018,6780,Al-Nassr,6778,Al-Taawon,1,0,4
1003134,28/09/2018,6773,Al-Raed,6774,Al-Shabab,1,1,4
1003142,05/10/2018,6770,Al-Ahli,6777,Al-Faisaly,2,0,5
1003136,04/10/2018,6772,Al-Fateh,1316,Al-Ittihad,2,0,5
1003138,04/10/2018,10483,Al-Feiha,6773,Al-Raed,0,3,5
1003139,06/11/2018,1317,Al-Hilal,5680,Al-Ittifaq,4,1,5
1003137,05/10/2018,6780,Al-Nassr,6846,Al-Hazm,5,1,5
1003143,06/10/2018,6775,Al-Quadisiya,6847,Al-Wahda,0,1,5
1003140,05/10/2018,6778,Al-Taawon,6774,Al-Shabab,1,1,5
1003141,05/10/2018,9624,Ohod,9623,Al-Baten,0,1,5
1003147,19/10/2018,9623,Al-Baten,6780,Al-Nassr,0,2,6
1003148,19/10/2018,6777,Al-Faisaly,6778,Al-Taawon,1,4,6
1003145,18/10/2018,6846,Al-Hazm,6775,Al-Quadisiya,2,1,6
1003151,20/10/2018,5680,Al-Ittifaq,6770,Al-Ahli,6,2,6
1003150,19/10/2018,1316,Al-Ittihad,9624,Ohod,1,1,6
1003149,19/10/2018,6773,Al-Raed,6772,Al-Fateh,0,3,6
1003144,20/10/2018,6774,Al-Shabab,1317,Al-Hilal,0,1,6
1003146,18/10/2018,6847,Al-Wahda,10483,Al-Feiha,2,1,6
1003159,25/10/2018,6770,Al-Ahli,6772,Al-Fateh,5,1,7
1003156,26/10/2018,9623,Al-Baten,6778,Al-Taawon,0,5,7
1003265,24/10/2018,6777,Al-Faisaly,6773,Al-Raed,2,0,7
1003153,26/10/2018,10483,Al-Feiha,6780,Al-Nassr,1,1,7
1003158,25/10/2018,1317,Al-Hilal,1316,Al-Ittihad,3,1,7
1003152,25/10/2018,5680,Al-Ittifaq,6846,Al-Hazm,1,0,7
1003155,26/10/2018,6774,Al-Shabab,6775,Al-Quadisiya,2,1,7
1003157,26/10/2018,9624,Ohod,6847,Al-Wahda,1,3,7
1003161,01/11/2018,9623,Al-Baten,6846,Al-Hazm,1,0,8
1003163,01/11/2018,6777,Al-Faisaly,5680,Al-Ittifaq,5,1,8
1003160,01/11/2018,6772,Al-Fateh,10483,Al-Feiha,1,2,8
1003166,01/11/2018,1316,Al-Ittihad,6773,Al-Raed,1,2,8
1003167,03/11/2018,6780,Al-Nassr,6770,Al-Ahli,0,2,8
1003165,02/11/2018,6775,Al-Quadisiya,1317,Al-Hilal,0,2,8
1003162,01/11/2018,6847,Al-Wahda,6774,Al-Shabab,0,1,8
1003164,02/11/2018,9624,Ohod,6778,Al-Taawon,1,0,8
1003168,08/11/2018,9623,Al-Baten,6772,Al-Fateh,2,2,9
1003173,09/11/2018,6770,Al-Ahli,6775,Al-Quadisiya,0,2,9
1003169,08/11/2018,6777,Al-Faisaly,6774,Al-Shabab,0,0,9
1003172,10/11/2018,10483,Al-Feiha,1316,Al-Ittihad,2,1,9
1003174,11/11/2018,5680,Al-Ittifaq,6780,Al-Nassr,1,2,9
1003171,25/12/2018,6773,Al-Raed,6778,Al-Taawon,2,1,9
1003287,11/11/2018,6847,Al-Wahda,1317,Al-Hilal,0,3,9
1003170,08/11/2018,9624,Ohod,6846,Al-Hazm,3,3,9
1003179,24/11/2018,6777,Al-Faisaly,1317,Al-Hilal,1,1,10
1003176,22/11/2018,6772,Al-Fateh,9624,Ohod,4,0,10
1003276,22/11/2018,10483,Al-Feiha,6846,Al-Hazm,1,1,10
1003272,24/11/2018,5680,Al-Ittifaq,6778,Al-Taawon,2,4,10
1003183,25/11/2018,1316,Al-Ittihad,6770,Al-Ahli,1,3,10
1003182,23/11/2018,6780,Al-Nassr,6774,Al-Shabab,1,0,10
1003181,23/11/2018,6775,Al-Quadisiya,6773,Al-Raed,3,1,10
1003178,22/11/2018,6847,Al-Wahda,9623,Al-Baten,1,0,10
1003189,30/11/2018,6770,Al-Ahli,10483,Al-Feiha,1,1,11
1003290,01/12/2018,9623,Al-Baten,6773,Al-Raed,1,3,11
1003291,01/12/2018,6772,Al-Fateh,6778,Al-Taawon,0,2,11
1003294,02/12/2018,1316,Al-Ittihad,6846,Al-Hazm,2,2,11
1003191,02/12/2018,6780,Al-Nassr,6847,Al-Wahda,1,2,11
1003188,30/11/2018,6775,Al-Quadisiya,6777,Al-Faisaly,1,1,11
1003288,29/11/2018,6774,Al-Shabab,5680,Al-Ittifaq,2,2,11
1003187,12/12/2018,9624,Ohod,1317,Al-Hilal,0,1,11
1003193,06/12/2018,9623,Al-Baten,10483,Al-Feiha,1,0,12
1003197,08/12/2018,6772,Al-Fateh,6846,Al-Hazm,3,2,12
1003199,08/12/2018,1317,Al-Hilal,6780,Al-Nassr,2,2,12
1003194,06/12/2018,1316,Al-Ittihad,6777,Al-Faisaly,1,2,12
1003192,06/12/2018,6775,Al-Quadisiya,5680,Al-Ittifaq,2,0,12
1003196,08/12/2018,6773,Al-Raed,6770,Al-Ahli,0,0,12
1003195,06/12/2018,6774,Al-Shabab,9624,Ohod,1,0,12
1003198,07/12/2018,6847,Al-Wahda,6778,Al-Taawon,0,1,12
1003204,14/12/2018,9623,Al-Baten,1316,Al-Ittihad,1,3,13
1003207,15/12/2018,6770,Al-Ahli,6774,Al-Shabab,0,1,13
1003201,13/12/2018,6772,Al-Fateh,6777,Al-Faisaly,1,1,13
1003202,15/12/2018,1317,Al-Hilal,6846,Al-Hazm,1,2,13
1003200,13/12/2018,5680,Al-Ittifaq,6847,Al-Wahda,2,1,13
1003203,14/12/2018,6780,Al-Nassr,6773,Al-Raed,4,0,13
1003205,14/12/2018,6778,Al-Taawon,10483,Al-Feiha,3,0,13
1003206,17/12/2018,9624,Ohod,6775,Al-Quadisiya,1,3,13
1003210,20/12/2018,6777,Al-Faisaly,6847,Al-Wahda,3,0,14
1003208,21/12/2018,6772,Al-Fateh,5680,Al-Ittifaq,0,0,14
1003212,22/12/2018,10483,Al-Feiha,9624,Ohod,3,0,14
1003215,21/12/2018,1317,Al-Hilal,6770,Al-Ahli,4,3,14
1003214,21/12/2018,1316,Al-Ittihad,6780,Al-Nassr,1,2,14
1003209,21/12/2018,6775,Al-Quadisiya,6778,Al-Taawon,3,1,14
1003213,20/12/2018,6773,Al-Raed,6846,Al-Hazm,1,0,14
1003211,21/12/2018,6774,Al-Shabab,9623,Al-Baten,4,0,14
1003216,27/12/2018,9623,Al-Baten,6775,Al-Quadisiya,2,0,15
1003217,27/12/2018,6777,Al-Faisaly,10483,Al-Feiha,1,0,15
1003323,28/12/2018,6772,Al-Fateh,6780,Al-Nassr,0,0,15
1003220,28/12/2018,6846,Al-Hazm,6774,Al-Shabab,1,3,15
1003223,29/12/2018,5680,Al-Ittifaq,1316,Al-Ittihad,1,0,15
1003218,30/12/2018,6778,Al-Taawon,1317,Al-Hilal,2,2,15
1003222,28/12/2018,6847,Al-Wahda,6770,Al-Ahli,2,1,15
1003221,30/12/2018,9624,Ohod,6773,Al-Raed,0,1,15
1003230,11/01/2019,6770,Al-Ahli,9624,Ohod,5,1,16
1003113,11/01/2019,9623,Al-Baten,5680,Al-Ittifaq,0,0,16
1003224,10/01/2019,6777,Al-Faisaly,6780,Al-Nassr,2,2,16
1003227,11/01/2019,1317,Al-Hilal,6773,Al-Raed,1,1,16
1003231,10/01/2019,6775,Al-Quadisiya,1316,Al-Ittihad,0,1,16
1003229,11/01/2019,6774,Al-Shabab,10483,Al-Feiha,4,1,16
1003225,10/01/2019,6778,Al-Taawon,6846,Al-Hazm,1,1,16
1003226,10/01/2019,6847,Al-Wahda,6772,Al-Fateh,1,0,16
1003236,28/01/2019,9623,Al-Baten,6777,Al-Faisaly,2,0,17
1003233,27/01/2019,6772,Al-Fateh,6775,Al-Quadisiya,2,0,17
1003237,27/01/2019,10483,Al-Feiha,1317,Al-Hilal,1,5,17
1003239,29/01/2019,1316,Al-Ittihad,6774,Al-Shabab,0,0,17
1003235,28/01/2019,6780,Al-Nassr,9624,Ohod,4,0,17
1003232,29/01/2019,6773,Al-Raed,5680,Al-Ittifaq,1,2,17
1003234,28/01/2019,6778,Al-Taawon,6770,Al-Ahli,3,4,17
1003106,28/01/2019,6847,Al-Wahda,6846,Al-Hazm,1,1,17
1003135,02/02/2019,9623,Al-Baten,6770,Al-Ahli,1,2,18
1003242,03/02/2019,6777,Al-Faisaly,6846,Al-Hazm,1,2,18
1003243,04/02/2019,1317,Al-Hilal,6772,Al-Fateh,4,1,18
1003240,02/02/2019,6775,Al-Quadisiya,10483,Al-Feiha,2,0,18
1003241,04/02/2019,6774,Al-Shabab,6773,Al-Raed,1,1,18
1003244,02/02/2019,6778,Al-Taawon,6780,Al-Nassr,3,1,18
1003247,04/02/2019,6847,Al-Wahda,1316,Al-Ittihad,0,2,18
1003245,03/02/2019,9624,Ohod,5680,Al-Ittifaq,2,1,18
1003251,08/02/2019,9623,Al-Baten,1317,Al-Hilal,2,3,19
1003248,09/02/2019,6772,Al-Fateh,6774,Al-Shabab,1,0,19
1003249,08/02/2019,10483,Al-Feiha,5680,Al-Ittifaq,1,1,19
1003252,07/02/2019,6846,Al-Hazm,6770,Al-Ahli,2,4,19
1003255,09/02/2019,1316,Al-Ittihad,6778,Al-Taawon,0,0,19
1003254,06/02/2019,6780,Al-Nassr,6775,Al-Quadisiya,3,1,19
1003250,09/02/2019,6773,Al-Raed,6847,Al-Wahda,1,3,19
1003253,07/02/2019,9624,Ohod,6777,Al-Faisaly,4,1,19
1003263,12/02/2019,6770,Al-Ahli,6780,Al-Nassr,1,2,20
1003258,14/02/2019,10483,Al-Feiha,6772,Al-Fateh,1,2,20
1003262,13/02/2019,6846,Al-Hazm,9623,Al-Baten,1,0,20
1003261,12/02/2019,1317,Al-Hilal,6775,Al-Quadisiya,4,1,20
1003260,13/02/2019,5680,Al-Ittifaq,6777,Al-Faisaly,3,4,20
1003259,15/02/2019,6773,Al-Raed,1316,Al-Ittihad,1,1,20
1003256,15/02/2019,6774,Al-Shabab,6847,Al-Wahda,1,0,20
1003257,14/02/2019,6778,Al-Taawon,9624,Ohod,4,0,20
1003264,20/02/2019,6772,Al-Fateh,6770,Al-Ahli,2,1,21
1003266,21/02/2019,6846,Al-Hazm,5680,Al-Ittifaq,1,1,21
1003271,21/02/2019,1316,Al-Ittihad,1317,Al-Hilal,0,2,21
1003269,23/02/2019,6780,Al-Nassr,10483,Al-Feiha,1,0,21
1003268,22/02/2019,6775,Al-Quadisiya,6774,Al-Shabab,0,1,21
1003154,23/02/2019,6773,Al-Raed,6777,Al-Faisaly,0,3,21
1003267,22/02/2019,6778,Al-Taawon,9623,Al-Baten,4,1,21
1003270,22/02/2019,6847,Al-Wahda,9624,Ohod,4,1,21
1003279,01/03/2019,6770,Al-Ahli,1316,Al-Ittihad,1,1,22
1003275,02/03/2019,9623,Al-Baten,6847,Al-Wahda,1,1,22
1003177,02/03/2019,6846,Al-Hazm,10483,Al-Feiha,0,1,22
1003273,01/03/2019,1317,Al-Hilal,6777,Al-Faisaly,2,1,22
1003274,01/03/2019,6773,Al-Raed,6775,Al-Quadisiya,0,0,22
1003278,28/02/2019,6774,Al-Shabab,6780,Al-Nassr,0,1,22
1003180,28/02/2019,6778,Al-Taawon,5680,Al-Ittifaq,4,1,22
1003277,28/02/2019,9624,Ohod,6772,Al-Fateh,0,0,22
1003283,09/03/2019,6772,Al-Fateh,9623,Al-Baten,0,2,23
1003282,09/03/2019,6846,Al-Hazm,9624,Ohod,2,2,23
1003175,08/03/2019,1317,Al-Hilal,6847,Al-Wahda,1,1,23
1003286,08/03/2019,1316,Al-Ittihad,10483,Al-Feiha,2,0,23
1003284,08/03/2019,6780,Al-Nassr,5680,Al-Ittifaq,3,2,23
1003280,08/03/2019,6775,Al-Quadisiya,6770,Al-Ahli,1,2,23
1003281,07/03/2019,6774,Al-Shabab,6777,Al-Faisaly,2,1,23
1003285,07/03/2019,6778,Al-Taawon,6773,Al-Raed,2,1,23
1003289,14/03/2019,6777,Al-Faisaly,6775,Al-Quadisiya,3,0,24
1003185,16/03/2019,6846,Al-Hazm,1316,Al-Ittihad,0,3,24
1003184,15/03/2019,5680,Al-Ittifaq,6774,Al-Shabab,1,1,24
1003190,15/03/2019,6773,Al-Raed,9623,Al-Baten,1,0,24
1003186,14/03/2019,6778,Al-Taawon,6772,Al-Fateh,1,1,24
1003295,16/03/2019,6847,Al-Wahda,6780,Al-Nassr,0,4,24
9999991,23/03/2019,1317,Al-Hilal,9624,Ohod,0,0,24
9999903,28/03/2019,10483,Al-Feiha,9623,Al-Baten,2,1,25
9999904,28/03/2019,6778,Al-Taawon,6847,Al-Wahda,1,0,25
9999905,28/03/2019,5680,Al-Ittifaq,6775,Al-Quadisiya,3,2,25
9999906,28/03/2019,6770,Al-Ahli,6773,Al-Raed,4,5,25
9999902,28/03/2019,6846,Al-Hazm,6772,Al-Fateh,1,0,25