Date,Home_Team,Team id,Team Name,Visitor_Team,round,season,Home_Score,Away_Score
Tue 10 Mar   finished,Al Hilal Riyadh,1317.0,Al-Hilal,Al Jeel,1,2014/2015,4,1
Thu 26 Apr 19:45  finished,Al Hilal Riyadh,1317.0,Al-Hilal,Al Ittihad,1,2011/2012,1,1
Thu 17 May 19:50  finished,Al Hilal Riyadh,1317.0,Al-Hilal,Al Fateh FC,3,2011/2012,0,3
Mon 07 May 19:50  finished,Al Hilal Riyadh,1317.0,Al-Hilal,Al Ahli Jeddah,2,2011/2012,0,1
Thu 09 May 19:45  finished,Al Hilal Riyadh,1317.0,Al-Hilal,Al Ittihad,1,2012/2013,1,1
Fri 29 Apr 19:45  finished,Al Hilal Riyadh,1317.0,Al-Hilal,Al Ahli Jeddah,4,2015/2016,2,3
Tue 14 Apr 19:30  finished,Al Hilal Riyadh,1317.0,Al-Hilal,Hajer,2,2014/2015,6,1
Wed 15 Jun 18:25  finished,Al Hilal Riyadh,1317.0,Al-Hilal,Al Ittihad,2,2010/2011,0,3
Sat 05 Jan 13:20  finished,Al Hilal Riyadh,1317.0,Al-Hilal,Al Drae,1,2018/2019,9,0
Sat 28 May 18:20  finished,Al Hilal Riyadh,1317.0,Al-Hilal,Al Faisaly,1,2010/2011,2,1
Wed 18 Jan 16:10  finished,Al Hilal Riyadh,1317.0,Al-Hilal,Al Qaisoma,1,2016/2017,2,1
Sun 31 May 19:50  finished,Al Hilal Riyadh,1317.0,Al-Hilal,Al Ittihad,4,2014/2015,4,1
Thu 23 Jun   finished,Al Hilal Riyadh,1317.0,Al-Hilal,Al Wahda Mecca,3,2010/2011,6,3
Sun 04 Apr   finished,Al Hilal Riyadh,1317.0,Al-Hilal,Al Fateh FC,1,2009/2010,3,1
Thu 04 Jan 17:20  finished,Al Hilal Riyadh,1317.0,Al-Hilal,Hajer,1,2017/2018,2,1
Fri 11 Apr 19:40  finished,Al Hilal Riyadh,1317.0,Al-Hilal,Al Shabab,3,2013/2014,0,1
Fri 24 Feb 17:55  finished,Al Ettifaq Dammam,5680.0,Al-Ittifaq,Al Fateh FC,2,2016/2017,1,0
Tue 14 Apr 17:45  finished,Al Ettifaq Dammam,5680.0,Al-Ittifaq,Al Taawon,2,2014/2015,0,2
Sun 20 Apr 19:45  finished,Al Ettifaq Dammam,5680.0,Al-Ittifaq,Al Shabab,4,2013/2014,2,2
Thu 09 May 17:55  finished,Al Ettifaq Dammam,5680.0,Al-Ittifaq,Al Fateh FC,1,2012/2013,1,2
Wed 03 Jan 15:40  finished,Al Ettifaq Dammam,5680.0,Al-Ittifaq,Al Ta ee,1,2017/2018,6,0
Thu 30 Mar 19:15  finished,Al Ettifaq Dammam,5680.0,Al-Ittifaq,Al Taawon,3,2016/2017,(,)
Sat 28 Apr 19:45  finished,Al Ettifaq Dammam,5680.0,Al-Ittifaq,Al Fateh FC,1,2011/2012,1,2
Sat 11 Jun 20:05  finished,Al Ettifaq Dammam,5680.0,Al-Ittifaq,Al Wahda Mecca,1,2010/2011,4,3
Fri 18 Jan 13:10  finished,Al Ettifaq Dammam,5680.0,Al-Ittifaq,Al Amgad,2,2018/2019,9,1
Sat 05 Jan 13:00  finished,Al Ettifaq Dammam,5680.0,Al-Ittifaq,Al Draih,1,2018/2019,3,0
Mon 01 Apr 20:35,Al Ettifaq Dammam,5680.0,Al-Ittifaq,Al Hilal Riyadh,4,2018/2019,2,5
Sat 02 May 19:35  finished,Al Ittihad,1316.0,Al-Ittihad,Qadisiyah Khobar,3,2014/2015,2,1
Wed 13 Apr 20:00  finished,Al Ittihad,1316.0,Al-Ittihad,Al Hazm Rass,3,2015/2016,3,0
Mon 09 Mar   finished,Al Ittihad,1316.0,Al-Ittihad,Al Riyadh,1,2014/2015,4,0
Tue 25 Feb   finished,Al Faisaly,9623.0,Al-Baten,Al Batin,1,2013/2014,4,1
Thu 17 Jan 13:25  finished,Al Shoalah,9623.0,Al-Baten,Al Batin,2,2018/2019,0,1
Thu 22 Feb 18:00  finished,Al Nassr,9623.0,Al-Baten,Al Batin,3,2017/2018,0,1
Fri 05 Jan 13:20  finished,Al Mojzel,9623.0,Al-Baten,Al Batin,1,2017/2018,1,3
Sat 28 May 18:20  finished,Al Hilal Riyadh,6777.0,Al-Faisaly,Al Faisaly,1,2010/2011,2,1
Thu 21 Jan 15:55  finished,Al Jeel,6777.0,Al-Faisaly,Al Faisaly,1,2015/2016,0,0
Mon 21 Jan 18:05  finished,Al Hilal Riyadh,6777.0,Al-Faisaly,Al Faisaly,3,2018/2019,3,2
Sun 25 Feb 16:20  finished,Qadisiyah Khobar,6777.0,Al-Faisaly,Al Faisaly,3,2017/2018,2,3
Tue 15 Jan 13:10  finished,Al Khaleej Saihat,6777.0,Al-Faisaly,Al Faisaly,2,2018/2019,1,2
Sat 06 Jan 13:55  finished,Al Watani,6777.0,Al-Faisaly,Al Faisaly,1,2017/2018,2,3
Mon 23 Apr 19:45  finished,Al Ahli Jeddah,6777.0,Al-Faisaly,Al Faisaly,1,2011/2012,5,1
Tue 18 Feb   finished,Al Jeel,6772.0,Al-Fateh,Al Fateh FC,1,2013/2014,1,2
Sun 04 Apr   finished,Al Hilal Riyadh,6772.0,Al-Fateh,Al Fateh FC,1,2009/2010,3,1
Fri 17 May 19:50  finished,Al Ittihad,6772.0,Al-Fateh,Al Fateh FC,2,2012/2013,2,0
Fri 24 Feb 17:55  finished,Al Ettifaq Dammam,6772.0,Al-Fateh,Al Fateh FC,2,2016/2017,1,0
Tue 28 May 18:30  finished,Al Ahli Jeddah,6772.0,Al-Fateh,Al Fateh FC,3,2012/2013,2,0
Thu 17 May 19:50  finished,Al Hilal Riyadh,6772.0,Al-Fateh,Al Fateh FC,3,2011/2012,0,3
Thu 21 Jan 13:40  finished,Al Hazm Rass,6772.0,Al-Fateh,Al Fateh FC,1,2015/2016,1,0
Thu 09 May 17:55  finished,Al Ettifaq Dammam,6772.0,Al-Fateh,Al Fateh FC,1,2012/2013,1,2
Tue 08 May 19:50  finished,Al Nassr,6772.0,Al-Fateh,Al Fateh FC,2,2011/2012,2,0
Wed 02 Jan 13:25  finished,Al Arabi,6772.0,Al-Fateh,Al Fateh FC,1,2018/2019,1,2
Thu 17 Jan 13:25  finished,Al Qaisoma,6772.0,Al-Fateh,Al Fateh FC,2,2018/2019,3,0
Wed 24 Jan 13:35  finished,Al-Fayha,6772.0,Al-Fateh,Al Fateh FC,2,2017/2018,2,1
Sat 28 Apr 19:45  finished,Al Ettifaq Dammam,6772.0,Al-Fateh,Al Fateh FC,1,2011/2012,1,2
Fri 22 Jan 13:40  finished,Al Raed,10483.0,Al-Feiha,Al-Fayha,1,2015/2016,1,0
Sat 21 Jan 16:10  finished,Al Nassr,10483.0,Al-Feiha,Al-Fayha,1,2016/2017,4,0
Sat 06 Jan 13:10  finished,Al Qaisoma,10483.0,Al-Feiha,Al-Fayha,1,2017/2018,2,3
Tue 15 Jan 13:55  finished,Wej Taif,10483.0,Al-Feiha,Al-Fayha,2,2018/2019,0,1
Wed 02 Jan 13:25  finished,Al Kholood,6846.0,Al-Hazm,Al Hazm Rass,1,2018/2019,0,1
Fri 05 Jan 13:05  finished,Al Fateh FC,6846.0,Al-Hazm,Al Hazm Rass,1,2017/2018,1,0
Mon 17 Feb   finished,Al Nassr,6846.0,Al-Hazm,Al Hazm Rass,1,2013/2014,4,1
Tue 03 Mar   finished,Al Fateh FC,6846.0,Al-Hazm,Al Hazm Rass,1,2014/2015,1,1
Wed 13 Apr 20:00  finished,Al Ittihad,6846.0,Al-Hazm,Al Hazm Rass,3,2015/2016,3,0
Sun 04 Apr   finished,Al Ittihad,6846.0,Al-Hazm,Al Hazm Rass,1,2009/2010,4,1
Thu 08 Apr   finished,Al Fateh FC,1317.0,Al-Hilal,Al Hilal Riyadh,1,2009/2010,0,5
Thu 21 Jan 15:55  finished,Al Nahdha,1317.0,Al-Hilal,Al Hilal Riyadh,1,2015/2016,1,2
Fri 10 Jun 20:05  finished,Al Faisaly,1317.0,Al-Hilal,Al Hilal Riyadh,1,2010/2011,0,3
Sun 19 Jun   finished,Al Ittihad,1317.0,Al-Hilal,Al Hilal Riyadh,2,2010/2011,1,1
Tue 12 Apr 18:05  finished,Al Mojzel,1317.0,Al-Hilal,Al Hilal Riyadh,3,2015/2016,1,4
Mon 17 Feb   finished,Qadisiyah Khobar,1317.0,Al-Hilal,Al Hilal Riyadh,1,2013/2014,2,4
Sat 08 Mar 14:10  finished,Al Zulfi,1317.0,Al-Hilal,Al Hilal Riyadh,2,2013/2014,1,3
Sun 22 Apr 19:45  finished,Al Ittihad,1317.0,Al-Hilal,Al Hilal Riyadh,1,2011/2012,2,2
Tue 20 Apr   finished,Al Nassr,1317.0,Al-Hilal,Al Hilal Riyadh,2,2009/2010,3,5
Wed 16 Jan 15:55  finished,Hajer,1317.0,Al-Hilal,Al Hilal Riyadh,2,2018/2019,0,3
Thu 18 May 20:00  finished,Al Ahli Jeddah,1317.0,Al-Hilal,Al Hilal Riyadh,5,2016/2017,2,3
Sat 01 Apr 19:30  finished,Al Nassr,1317.0,Al-Hilal,Al Hilal Riyadh,3,2016/2017,0,2
Mon 01 Apr 20:35,Al Ettifaq Dammam,1317.0,Al-Hilal,Al Hilal Riyadh,4,2018/2019,2,5
Sun 05 May 19:45  finished,Al Ittihad,1317.0,Al-Hilal,Al Hilal Riyadh,1,2012/2013,3,2
Sat 20 Jan 15:55  finished,Qadisiyah Khobar,1317.0,Al-Hilal,Al Hilal Riyadh,2,2017/2018,1,0
Fri 05 Jun 20:00  finished,Al Nassr,1317.0,Al-Hilal,Al Hilal Riyadh,5,2014/2015,1,1
Fri 11 May 19:50  finished,Al Ahli Jeddah,1317.0,Al-Hilal,Al Hilal Riyadh,2,2011/2012,2,2
Sun 31 Jan 17:30  finished,Al Najoom,1317.0,Al-Hilal,Al Hilal Riyadh,2,2015/2016,0,2
Fri 01 May 20:00  finished,Al Faisaly,1317.0,Al-Hilal,Al Hilal Riyadh,3,2014/2015,1,3
Sun 05 May 17:55  finished,Al Fateh FC,5680.0,Al-Ittifaq,Al Ettifaq Dammam,1,2012/2013,2,2
Tue 01 May 19:45  finished,Al Fateh FC,5680.0,Al-Ittifaq,Al Ettifaq Dammam,1,2011/2012,3,2
Tue 25 Feb   finished,Al Duriah,5680.0,Al-Ittifaq,Al Ettifaq Dammam,1,2013/2014,0,3
Wed 18 Jan 13:55  finished,Dhamk Club,5680.0,Al-Ittifaq,Al Ettifaq Dammam,1,2016/2017,0,2
Wed 23 Jan 13:30  finished,Al Qaisoma,5680.0,Al-Ittifaq,Al Ettifaq Dammam,3,2018/2019,1,4
Mon 02 Mar   finished,Alwadi Al Akhdar,5680.0,Al-Ittifaq,Al Ettifaq Dammam,1,2014/2015,1,3
Sun 27 Apr 19:45  finished,Al Shabab,5680.0,Al-Ittifaq,Al Ettifaq Dammam,4,2013/2014,1,0
Fri 19 Jan 18:10  finished,Al Ittihad,5680.0,Al-Ittifaq,Al Ettifaq Dammam,2,2017/2018,2,1
Sun 24 Jan 16:10  finished,Al Shabab,5680.0,Al-Ittifaq,Al Ettifaq Dammam,1,2015/2016,2,0
Sat 28 May 18:40  finished,Al Wahda Mecca,5680.0,Al-Ittifaq,Al Ettifaq Dammam,1,2010/2011,2,1
Sat 12 Apr 19:40  finished,Al Faisaly,5680.0,Al-Ittifaq,Al Ettifaq Dammam,3,2013/2014,0,4
Fri 07 Mar 18:25  finished,Al Fateh FC,5680.0,Al-Ittifaq,Al Ettifaq Dammam,2,2013/2014,0,1
Thu 08 Apr   finished,Al Hazm Rass,1316.0,Al-Ittihad,Al Ittihad,1,2009/2010,0,0
Sun 31 May 19:50  finished,Al Hilal Riyadh,1316.0,Al-Ittihad,Al Ittihad,4,2014/2015,4,1
Mon 03 May   finished,Al Shabab,1316.0,Al-Ittihad,Al Ittihad,2,2009/2010,1,2
Wed 22 Apr 17:50  finished,Al Fateh FC,1316.0,Al-Ittihad,Al Ittihad,2,2014/2015,1,4
Fri 04 Jan 17:50  finished,Al Jubail,1316.0,Al-Ittihad,Al Ittihad,1,2018/2019,1,3
Sat 30 Apr 19:45  finished,Al Nassr,1316.0,Al-Ittihad,Al Ittihad,4,2015/2016,3,1
Sun 29 May 20:00  finished,Al Nassr,1316.0,Al-Ittihad,Al Ittihad,1,2010/2011,3,3
Thu 10 Apr 15:00  finished,Al Raed,1316.0,Al-Ittihad,Al Ittihad,3,2013/2014,0,3
Mon 21 Jan 16:20  finished,Al Taqdom,1316.0,Al-Ittihad,Al Ittihad,3,2018/2019,0,3
Fri 20 Jan 13:50  finished,Al Ta ee,1316.0,Al-Ittihad,Al Ittihad,1,2016/2017,2,1
Fri 07 May   finished,Al Hilal Riyadh,1316.0,Al-Ittihad,Al Ittihad,3,2009/2010,0,0
Wed 15 Jun 18:25  finished,Al Hilal Riyadh,1316.0,Al-Ittihad,Al Ittihad,2,2010/2011,0,3
Wed 16 Jan 13:30  finished,Al-Washm,1316.0,Al-Ittihad,Al Ittihad,2,2018/2019,1,2
Sat 19 Apr 19:45  finished,Al Ahli Jeddah,1316.0,Al-Ittihad,Al Ittihad,4,2013/2014,2,1
Sun 01 Apr 19:35  finished,Al Batin,1316.0,Al-Ittihad,Al Ittihad,4,2017/2018,2,6
Sat 12 May 20:00  finished,Al Faisaly,1316.0,Al-Ittihad,Al Ittihad,5,2017/2018,1,3
Fri 24 May 17:55  finished,Al Fateh FC,1316.0,Al-Ittihad,Al Ittihad,2,2012/2013,0,4
Sun 07 Jan 17:20  finished,Al-Kawkab,1316.0,Al-Ittihad,Al Ittihad,1,2017/2018,1,3
Thu 26 Apr 19:45  finished,Al Hilal Riyadh,1316.0,Al-Ittihad,Al Ittihad,1,2011/2012,1,1
Thu 09 May 19:45  finished,Al Hilal Riyadh,1316.0,Al-Ittihad,Al Ittihad,1,2012/2013,1,1
Sun 02 May   finished,Al Hilal Riyadh,6780.0,Al-Nassr,Al Nassr,2,2009/2010,1,1
Sat 08 Mar 18:25  finished,Al Shabab,6780.0,Al-Nassr,Al Nassr,2,2013/2014,2,1
Mon 23 Apr 19:45  finished,Al Shabab,6780.0,Al-Nassr,Al Nassr,1,2011/2012,1,2
Tue 10 Mar   finished,Al Wahda Mecca,6780.0,Al-Nassr,Al Nassr,1,2014/2015,1,2
Sat 04 May 19:45  finished,Al Ahli Jeddah,6780.0,Al-Nassr,Al Nassr,1,2012/2013,3,1
Fri 18 May 20:00  finished,Al Ahli Jeddah,6780.0,Al-Nassr,Al Nassr,4,2011/2012,4,1
Thu 30 Apr 18:00  finished,Najran,6780.0,Al-Nassr,Al Nassr,2,2014/2015,2,4
Mon 14 May 19:50  finished,Al Fateh FC,6780.0,Al-Nassr,Al Nassr,2,2011/2012,1,0
Fri 10 Jun 20:05  finished,Al Ittihad,6780.0,Al-Nassr,Al Nassr,1,2010/2011,1,1
Mon 05 Apr   finished,Al Ahli Jeddah,6780.0,Al-Nassr,Al Nassr,1,2009/2010,0,3
Sun 29 May 20:00  finished,Al Ahli Jeddah,6780.0,Al-Nassr,Al Nassr,5,2015/2016,2,1
Sun 31 Jan 16:15  finished,Al Shoalah,6780.0,Al-Nassr,Al Nassr,2,2015/2016,1,2
Thu 23 Feb 17:55  finished,Al Nahdha,6780.0,Al-Nassr,Al Nassr,2,2016/2017,0,2
Mon 21 Jan 16:15  finished,Al-Fayha,6780.0,Al-Nassr,Al Nassr,3,2018/2019,0,6
Thu 03 Jan 13:35  finished,Al-Jndal,6780.0,Al-Nassr,Al Nassr,1,2018/2019,0,6
Wed 20 Jan 18:00  finished,Al Duriah,6780.0,Al-Nassr,Al Nassr,1,2015/2016,0,7
Mon 23 Feb   finished,Al Khaleej Saihat,6775.0,Al-Quadisiya,Qadisiyah Khobar,1,2014/2015,2,3
Sun 24 Jan 13:25  finished,Al Batin,6775.0,Al-Quadisiya,Qadisiyah Khobar,1,2015/2016,3,2
Sat 02 May 19:35  finished,Al Ittihad,6775.0,Al-Quadisiya,Qadisiyah Khobar,3,2014/2015,2,1
Fri 20 Jan 17:15  finished,Al-Safa,6775.0,Al-Quadisiya,Qadisiyah Khobar,1,2016/2017,0,4
Tue 01 Jan 13:25  finished,Al Bukayriyah,6775.0,Al-Quadisiya,Qadisiyah Khobar,1,2018/2019,1,0
Thu 09 May 18:05  finished,Al Shabab,6773.0,Al-Raed,Al Raed,1,2012/2013,3,1
Tue 22 Jan 13:30  finished,Al Batin,6773.0,Al-Raed,Al Raed,3,2018/2019,2,1
Wed 15 Apr 18:00  finished,Al Faisaly,6773.0,Al-Raed,Al Raed,2,2014/2015,2,1
Thu 17 Mar 16:45  finished,Al Shabab,6773.0,Al-Raed,Al Raed,2,2015/2016,2,3
Mon 17 Mar 18:30  finished,Hajer,6773.0,Al-Raed,Al Raed,2,2013/2014,1,4
Thu 19 Jan 14:00  finished,Wajj,6774.0,Al-Shabab,Al Shabab,1,2016/2017,1,0
Sat 18 May 19:50  finished,Al Ahli Jeddah,6774.0,Al-Shabab,Al Shabab,2,2012/2013,1,0
Fri 11 Apr 19:40  finished,Al Hilal Riyadh,6774.0,Al-Shabab,Al Shabab,3,2013/2014,0,1
Wed 21 Apr   finished,Al Ittihad,6774.0,Al-Shabab,Al Shabab,2,2009/2010,2,0
Sun 20 Apr 19:45  finished,Al Ettifaq Dammam,6774.0,Al-Shabab,Al Shabab,4,2013/2014,2,2
Fri 23 Feb 18:30  finished,Al Ittihad,6774.0,Al-Shabab,Al Shabab,3,2017/2018,3,1
Wed 29 May 20:00  finished,Al Ittihad,6774.0,Al-Shabab,Al Shabab,4,2012/2013,4,2
Sun 29 Apr 19:45  finished,Al Nassr,6774.0,Al-Shabab,Al Shabab,1,2011/2012,2,1
Sat 11 Jun 20:05  finished,Al Ahli Jeddah,6774.0,Al-Shabab,Al Shabab,1,2010/2011,0,1
Wed 23 Jan 16:20  finished,Al Taawon,6774.0,Al-Shabab,Al Shabab,3,2018/2019,3,0
Thu 08 Apr   finished,Al Wahda Mecca,6774.0,Al-Shabab,Al Shabab,1,2009/2010,0,0
Sun 05 May 18:05  finished,Al Raed,6774.0,Al-Shabab,Al Shabab,1,2012/2013,0,2
Tue 14 Apr 15:00  finished,Abha,6774.0,Al-Shabab,Al Shabab,2,2014/2015,1,2
Thu 01 May 19:45  finished,Al Ahli Jeddah,6774.0,Al-Shabab,Al Shabab,5,2013/2014,0,3
Fri 18 Jan 18:00  finished,Jeddah Club,6774.0,Al-Shabab,Al Shabab,2,2018/2019,0,2
Thu 30 Mar 19:15  finished,Al Ettifaq Dammam,6778.0,Al-Taawon,Al Taawon,3,2016/2017,(,)
Sat 13 May 19:30  finished,Al Hilal Riyadh,6778.0,Al-Taawon,Al Taawon,4,2016/2017,4,3
Tue 07 Feb 16:30  finished,Al Raed,6778.0,Al-Taawon,Al Taawon,2,2016/2017,0,1
Fri 01 May 18:00  finished,Al Shabab,6778.0,Al-Taawon,Al Taawon,3,2014/2015,1,2
Fri 20 Jan 15:55  finished,Al Najoom,6778.0,Al-Taawon,Al Taawon,1,2016/2017,0,1
Sat 30 May 19:30  finished,Al Nassr,6778.0,Al-Taawon,Al Taawon,4,2014/2015,2,1
Tue 14 Apr 17:45  finished,Al Ettifaq Dammam,6778.0,Al-Taawon,Al Taawon,2,2014/2015,0,2
Tue 10 Mar   finished,Al-Fayha,6778.0,Al-Taawon,Al Taawon,1,2014/2015,0,3
Thu 23 Jun   finished,Al Hilal Riyadh,6847.0,Al-Wahda,Al Wahda Mecca,3,2010/2011,6,3
Tue 02 Apr 21:00,Al Taawon,6847.0,Al-Wahda,Al Wahda Mecca,4,2018/2019,2,0
Mon 20 Jun 20:05  finished,Al Ahli Jeddah,6847.0,Al-Wahda,Al Wahda Mecca,2,2010/2011,4,1
Tue 08 Mar 18:45  finished,Al Ittihad,6847.0,Al-Wahda,Al Wahda Mecca,2,2015/2016,2,0
Sat 11 Jun 20:05  finished,Al Ettifaq Dammam,6847.0,Al-Wahda,Al Wahda Mecca,1,2010/2011,4,3
Wed 16 Jan 13:45  finished,Al Orubah,6847.0,Al-Wahda,Al Wahda Mecca,2,2018/2019,0,1
Wed 18 Jan 18:00  finished,Ohod,6847.0,Al-Wahda,Al Wahda Mecca,1,2016/2017,0,1
Mon 17 Mar 14:15  finished,Al Ta ee,6847.0,Al-Wahda,Al Wahda Mecca,2,2013/2014,1,0
Sun 04 Apr   finished,Al Shabab,6847.0,Al-Wahda,Al Wahda Mecca,1,2009/2010,1,0
Mon 23 Jan 16:15  finished,Al Hilal Riyadh,6847.0,Al-Wahda,Al Wahda Mecca,2,2016/2017,3,2
Wed 23 Jan 18:05  finished,Al Ahli Jeddah,6847.0,Al-Wahda,Al Wahda Mecca,3,2018/2019,(,)
Wed 20 Jan 18:00  finished,Al Wahda Mecca,9624.0,Ohod,Ohod,1,2015/2016,2,1
Tue 15 Jan 13:35  finished,Al Taqdom,9624.0,Ohod,Ohod,2,2018/2019,2,0
Mon 17 Feb   finished,Al Raed,9624.0,Ohod,Ohod,1,2013/2014,1,0
