Date,Home_Team_Id,Home_Team_Name,Visitor_Team_Id,Visitor_Team,group,Round,season,Home_Score,Away_Score
Fri 23 Oct 18:45  finished,1317,Al-Hilal,6772,Al-Fateh,1,6,2009/2010,5,1
Wed 18 Apr 19:40  finished,6777,Al-Faisaly,6772,Al-Fateh,1,26,2011/2012,1,0
Tue 07 Aug 21:15  finished,1317,Al-Hilal,6772,Al-Fateh,1,2,2012/2013,1,2
Wed 30 Sep 19:05  finished,5680,Al-Ittifaq,6772,Al-Fateh,1,4,2009/2010,0,2
Fri 04 Dec 17:35  finished,6780,Al-Nassr,6772,Al-Fateh,1,10,2009/2010,3,1
Sat 29 Oct 17:10  finished,6774,Al-Shabab,6772,Al-Fateh,1,7,2016/2017,2,0
Thu 15 Mar 18:25  finished,6774,Al-Shabab,6772,Al-Fateh,1,22,2011/2012,1,0
Thu 10 Dec 17:35  finished,6770,Al-Ahli,6772,Al-Fateh,1,11,2009/2010,1,1
Wed 26 Aug 21:15  finished,6773,Al-Raed,6772,Al-Fateh,1,2,2009/2010,2,1
Tue 15 Dec 17:40  finished,1316,Al-Ittihad,6772,Al-Fateh,1,12,2009/2010,1,1
Thu 12 Jan 13:35  finished,6773,Al-Raed,6772,Al-Fateh,1,16,2011/2012,1,2
Thu 04 Oct 19:00  finished,6777,Al-Faisaly,6772,Al-Fateh,1,9,2012/2013,0,0
Sat 27 Apr 19:40  finished,5680,Al-Ittifaq,6772,Al-Fateh,1,26,2012/2013,0,4
Wed 06 Jan 17:50  finished,6774,Al-Shabab,6772,Al-Fateh,1,16,2009/2010,2,2
Fri 11 Feb 18:15  finished,6773,Al-Raed,6772,Al-Fateh,1,17,2010/2011,1,2
Thu 22 Sep 17:40  finished,6773,Al-Raed,6772,Al-Fateh,1,4,2016/2017,3,2
Sat 18 Nov 15:50  finished,10483,Al-Feiha,6772,Al-Fateh,1,10,2017/2018,1,3
Sat 21 Mar 18:40  finished,6773,Al-Raed,6772,Al-Fateh,1,20,2014/2015,2,3
Sat 17 Dec 16:25  finished,1316,Al-Ittihad,6772,Al-Fateh,1,13,2016/2017,3,2
Thu 24 Dec 13:20  finished,6846,Al-Hazm,6772,Al-Fateh,1,14,2009/2010,2,1
Thu 02 Feb 18:10  finished,6775,Al-Quadisiya,6772,Al-Fateh,1,18,2011/2012,1,2
Tue 07 Feb 18:15  finished,6770,Al-Ahli,6772,Al-Fateh,1,19,2011/2012,3,3
Thu 20 Oct 17:10  finished,6778,Al-Taawon,6772,Al-Fateh,1,6,2016/2017,0,0
Sat 31 Dec 17:50  finished,6770,Al-Ahli,6772,Al-Fateh,1,15,2016/2017,2,0
Fri 14 Feb 18:25  finished,6770,Al-Ahli,6772,Al-Fateh,1,22,2013/2014,4,0
Fri 30 Sep 19:10  finished,6780,Al-Nassr,6772,Al-Fateh,1,4,2011/2012,1,2
Sat 14 Dec 13:10  finished,1317,Al-Hilal,6772,Al-Fateh,1,13,2013/2014,2,0
Sat 05 Mar 18:45  finished,1316,Al-Ittihad,6772,Al-Fateh,1,19,2015/2016,0,0
Sun 06 Mar 18:25  finished,6774,Al-Shabab,6772,Al-Fateh,1,19,2010/2011,0,0
Fri 20 Dec 13:20  finished,6778,Al-Taawon,6772,Al-Fateh,1,14,2013/2014,1,0
Sat 02 Oct 19:05  finished,6847,Al-Wahda,6772,Al-Fateh,1,8,2010/2011,3,0
Fri 11 Dec 15:30  finished,6775,Al-Quadisiya,6772,Al-Fateh,1,11,2015/2016,2,1
Thu 17 Aug 19:50  finished,6770,Al-Ahli,6772,Al-Fateh,1,2,2017/2018,4,0
Fri 16 Oct 17:10  finished,6773,Al-Raed,6772,Al-Fateh,1,4,2015/2016,0,0
Fri 24 Jan 13:40  finished,6777,Al-Faisaly,6772,Al-Fateh,1,19,2013/2014,2,1
Mon 27 Sep 19:10  finished,5680,Al-Ittifaq,6772,Al-Fateh,1,7,2010/2011,2,2
Wed 13 Aug 19:50  finished,1316,Al-Ittihad,6772,Al-Fateh,1,1,2014/2015,1,0
Thu 18 Sep 19:20  finished,6778,Al-Taawon,6772,Al-Fateh,1,5,2014/2015,1,2
Sat 13 Sep 19:25  finished,6780,Al-Nassr,6772,Al-Fateh,1,4,2014/2015,4,2
Fri 29 Oct 18:45  finished,6778,Al-Taawon,6772,Al-Fateh,1,11,2010/2011,0,0
Sat 16 Dec 13:15  finished,6778,Al-Taawon,6772,Al-Fateh,1,14,2017/2018,0,0
Fri 08 Apr 19:35  finished,6777,Al-Faisaly,6772,Al-Fateh,1,22,2010/2011,1,2
Thu 28 Dec 13:20  finished,6773,Al-Raed,6772,Al-Fateh,1,16,2017/2018,2,2
Thu 28 Sep 17:30  finished,9623,Al-Baten,6772,Al-Fateh,1,5,2017/2018,0,0
Thu 26 Nov 15:45  finished,6780,Al-Nassr,6772,Al-Fateh,1,9,2015/2016,3,1
Fri 28 Mar 18:35  finished,6773,Al-Raed,6772,Al-Fateh,1,25,2013/2014,2,1
Fri 22 Sep 18:00  finished,9624,Ohod,6772,Al-Fateh,1,4,2017/2018,0,2
Fri 25 Dec 13:15  finished,6777,Al-Faisaly,6772,Al-Fateh,1,7,2015/2016,1,2
Sun 24 Apr 19:40  finished,1316,Al-Ittihad,6772,Al-Fateh,1,23,2010/2011,2,0
Tue 22 Nov 17:40  finished,1316,Al-Ittihad,6772,Al-Fateh,1,2,2011/2012,1,2
Wed 29 Nov 17:40  finished,6780,Al-Nassr,6772,Al-Fateh,1,12,2017/2018,3,1
Tue 24 Aug 21:15  finished,6770,Al-Ahli,6772,Al-Fateh,1,3,2010/2011,1,2
Thu 09 Dec 17:35  finished,6775,Al-Quadisiya,6772,Al-Fateh,1,14,2010/2011,0,1
Fri 25 Nov 15:40  finished,9623,Al-Baten,6772,Al-Fateh,1,10,2016/2017,1,1
Sun 02 Sep 19:35  finished,6774,Al-Shabab,6772,Al-Fateh,1,5,2012/2013,2,4
Thu 25 Feb 16:30  finished,6774,Al-Shabab,6772,Al-Fateh,1,18,2015/2016,1,0
Fri 28 Oct 18:50  finished,5680,Al-Ittifaq,6772,Al-Fateh,1,7,2011/2012,1,0
Thu 20 Apr 19:45  finished,6847,Al-Wahda,6772,Al-Fateh,1,24,2016/2017,1,2
Mon 23 Sep 19:15  finished,6774,Al-Shabab,6772,Al-Fateh,1,4,2013/2014,1,1
Sat 03 Feb 16:05  finished,5680,Al-Ittifaq,6772,Al-Fateh,1,20,2017/2018,2,1
Sun 19 Dec 17:40  finished,1317,Al-Hilal,6772,Al-Fateh,1,5,2010/2011,2,0
Sat 26 Oct 18:45  finished,6780,Al-Nassr,6772,Al-Fateh,1,7,2013/2014,1,0
Thu 11 Nov 17:35  finished,6846,Al-Hazm,6772,Al-Fateh,1,13,2010/2011,2,1
Mon 29 Jan 16:00  finished,6775,Al-Quadisiya,6772,Al-Fateh,1,19,2017/2018,1,4
Fri 05 Feb 16:20  finished,1317,Al-Hilal,6772,Al-Fateh,1,15,2015/2016,3,3
Sat 30 Nov 17:35  finished,5680,Al-Ittifaq,6772,Al-Fateh,1,11,2013/2014,2,0
Fri 22 Sep 19:20  finished,6780,Al-Nassr,10483,Al-Feiha,1,4,2017/2018,2,2
Sat 14 Oct 19:00  finished,6777,Al-Faisaly,10483,Al-Feiha,1,6,2017/2018,2,1
Thu 10 Aug 19:55  finished,1317,Al-Hilal,10483,Al-Feiha,1,1,2017/2018,2,1
Thu 19 Oct 16:50  finished,6775,Al-Quadisiya,10483,Al-Feiha,1,7,2017/2018,1,1
Wed 29 Nov 15:50  finished,6773,Al-Raed,10483,Al-Feiha,1,12,2017/2018,2,0
Tue 31 Oct 17:45  finished,6770,Al-Ahli,10483,Al-Feiha,1,9,2017/2018,1,1
Sat 10 Mar 18:30  finished,6774,Al-Shabab,10483,Al-Feiha,1,24,2017/2018,0,0
Fri 29 Dec 13:20  finished,6778,Al-Taawon,10483,Al-Feiha,1,16,2017/2018,4,0
Thu 01 Mar 16:25  finished,6772,Al-Fateh,10483,Al-Feiha,1,23,2017/2018,3,2
Sat 10 Feb 18:20  finished,5680,Al-Ittifaq,10483,Al-Feiha,1,21,2017/2018,1,1
Sun 24 Dec 17:45  finished,1316,Al-Ittihad,10483,Al-Feiha,1,15,2017/2018,0,1
Thu 12 Apr 18:00  finished,9623,Al-Baten,10483,Al-Feiha,1,26,2017/2018,1,1
Tue 06 Mar 17:10  finished,9624,Ohod,10483,Al-Feiha,1,18,2017/2018,2,3
Sun 28 Oct 18:50  finished,1317,Al-Hilal,6846,Al-Hazm,1,8,2007/2008,2,0
Fri 25 Sep 19:10  finished,6772,Al-Fateh,6846,Al-Hazm,1,3,2009/2010,1,1
Thu 18 Oct 18:45  finished,6774,Al-Shabab,6846,Al-Hazm,1,7,2007/2008,1,2
Fri 04 Apr 19:25  finished,6780,Al-Nassr,6846,Al-Hazm,1,10,2007/2008,2,1
Thu 30 Oct 17:45  finished,6780,Al-Nassr,6846,Al-Hazm,1,7,2008/2009,3,1
Tue 04 Nov 17:45  finished,6774,Al-Shabab,6846,Al-Hazm,1,8,2008/2009,2,0
Sun 30 Nov 17:40  finished,1317,Al-Hilal,6846,Al-Hazm,1,17,2008/2009,3,0
Sun 14 Sep 21:15  finished,6847,Al-Wahda,6846,Al-Hazm,1,1,2008/2009,2,1
Mon 19 Jan 18:00  finished,6773,Al-Raed,6846,Al-Hazm,1,15,2008/2009,1,0
Thu 24 Jan 18:00  finished,5680,Al-Ittifaq,6846,Al-Hazm,1,17,2007/2008,2,3
Sat 12 Jan 17:50  finished,1316,Al-Ittihad,6846,Al-Hazm,1,16,2007/2008,1,0
Sat 04 Oct 19:00  finished,1316,Al-Ittihad,6846,Al-Hazm,1,3,2008/2009,3,0
Sun 12 Apr 19:40  finished,6770,Al-Ahli,6846,Al-Hazm,1,22,2008/2009,1,0
Thu 20 Sep 21:15  finished,6775,Al-Quadisiya,6846,Al-Hazm,1,4,2007/2008,1,1
Thu 06 Dec 17:30  finished,6770,Al-Ahli,6846,Al-Hazm,1,12,2007/2008,1,1
Thu 25 Feb 18:20  finished,6780,Al-Nassr,6846,Al-Hazm,1,1,2009/2010,1,0
Thu 30 Aug 19:35  finished,6847,Al-Wahda,6846,Al-Hazm,1,2,2007/2008,3,2
Thu 05 Feb 18:30  finished,5680,Al-Ittifaq,6846,Al-Hazm,1,13,2008/2009,0,0
Fri 29 Jan 18:10  finished,6775,Al-Quadisiya,6846,Al-Hazm,1,20,2009/2010,3,1
Fri 20 May 19:55  finished,6772,Al-Fateh,6846,Al-Hazm,1,26,2010/2011,3,0
Sun 06 Feb 18:15  finished,6774,Al-Shabab,6846,Al-Hazm,1,8,2010/2011,1,0
Sun 15 Aug 21:15  finished,6770,Al-Ahli,6846,Al-Hazm,1,1,2010/2011,1,0
Sun 29 Aug 21:15  finished,1316,Al-Ittihad,6846,Al-Hazm,1,4,2010/2011,4,0
Mon 18 Jan 18:00  finished,6774,Al-Shabab,6846,Al-Hazm,1,18,2009/2010,0,2
Fri 01 Jan 13:25  finished,6773,Al-Raed,6846,Al-Hazm,1,15,2009/2010,1,1
Fri 22 Oct 18:50  finished,5680,Al-Ittifaq,6846,Al-Hazm,1,10,2010/2011,2,1
Fri 08 Apr 19:35  finished,6778,Al-Taawon,6846,Al-Hazm,1,22,2010/2011,2,0
Wed 22 Sep 19:15  finished,6777,Al-Faisaly,6846,Al-Hazm,1,6,2010/2011,3,1
Thu 17 Mar 18:30  finished,6773,Al-Raed,6846,Al-Hazm,1,20,2010/2011,2,0
Sun 15 May 19:50  finished,6780,Al-Nassr,6846,Al-Hazm,1,25,2010/2011,2,1
Sat 19 Dec 17:40  finished,6770,Al-Ahli,6846,Al-Hazm,1,13,2009/2010,2,1
Wed 06 Jan 17:50  finished,1316,Al-Ittihad,6846,Al-Hazm,1,16,2009/2010,5,2
Thu 24 Feb 18:20  finished,6847,Al-Wahda,6846,Al-Hazm,1,18,2010/2011,8,1
Thu 23 Dec 17:40  finished,6775,Al-Quadisiya,6846,Al-Hazm,1,16,2010/2011,1,0
Wed 15 Dec 17:40  finished,1317,Al-Hilal,6846,Al-Hazm,1,15,2010/2011,3,0
Fri 23 Oct 18:45  finished,5680,Al-Ittifaq,6846,Al-Hazm,1,6,2009/2010,2,3
Thu 18 Mar 18:30  finished,6847,Al-Wahda,6846,Al-Hazm,1,22,2009/2010,0,0
Mon 02 Nov 17:40  finished,1317,Al-Hilal,6846,Al-Hazm,1,8,2009/2010,4,0
Fri 16 Mar 18:30  finished,6775,Al-Quadisiya,1317,Al-Hilal,1,18,2017/2018,0,1
Fri 23 Sep 19:20  finished,6778,Al-Taawon,1317,Al-Hilal,1,3,2011/2012,0,1
Thu 06 Apr 19:40  finished,6773,Al-Raed,1317,Al-Hilal,1,22,2016/2017,0,3
Sun 30 Mar 19:25  finished,5680,Al-Ittifaq,1317,Al-Hilal,1,20,2007/2008,1,1
Sat 19 Dec 15:50  finished,6777,Al-Faisaly,1317,Al-Hilal,1,13,2015/2016,0,1
Wed 27 Jan 18:30  finished,6847,Al-Wahda,1317,Al-Hilal,1,14,2015/2016,1,3
Thu 13 Mar 18:20  finished,6846,Al-Hazm,1317,Al-Hilal,1,19,2007/2008,0,1
Sat 27 Apr 19:40  finished,6770,Al-Ahli,1317,Al-Hilal,1,26,2012/2013,1,1
Thu 24 Nov 17:35  finished,6780,Al-Nassr,1317,Al-Hilal,1,10,2011/2012,0,3
Tue 15 Aug 19:50  finished,6778,Al-Taawon,1317,Al-Hilal,1,2,2017/2018,3,4
Fri 16 Feb 18:30  finished,6774,Al-Shabab,1317,Al-Hilal,1,22,2017/2018,1,2
Thu 09 Jan 18:00  finished,1316,Al-Ittihad,1317,Al-Hilal,1,17,2013/2014,2,2
Sun 06 Feb 18:15  finished,1316,Al-Ittihad,1317,Al-Hilal,1,7,2010/2011,0,0
Sat 14 Sep 19:25  finished,6777,Al-Faisaly,1317,Al-Hilal,1,3,2013/2014,1,3
Sun 04 Feb 16:20  finished,9623,Al-Baten,1317,Al-Hilal,1,20,2017/2018,1,5
Sat 01 Sep 19:35  finished,6780,Al-Nassr,1317,Al-Hilal,1,5,2012/2013,1,3
Sat 28 Sep 19:10  finished,6770,Al-Ahli,1317,Al-Hilal,1,5,2013/2014,1,1
Wed 22 Oct 18:45  finished,6846,Al-Hazm,1317,Al-Hilal,1,6,2008/2009,1,2
Mon 15 Feb 16:40  finished,6778,Al-Taawon,1317,Al-Hilal,1,17,2015/2016,1,0
Sat 15 Oct 18:55  finished,6777,Al-Faisaly,1317,Al-Hilal,1,5,2011/2012,0,2
Fri 25 Oct 18:45  finished,6778,Al-Taawon,1317,Al-Hilal,1,7,2013/2014,1,2
Thu 20 Apr 19:45  finished,6774,Al-Shabab,1317,Al-Hilal,1,24,2016/2017,1,2
Fri 30 Aug 19:35  finished,5680,Al-Ittifaq,1317,Al-Hilal,1,2,2013/2014,1,3
Fri 20 Aug 21:15  finished,6846,Al-Hazm,1317,Al-Hilal,1,2,2010/2011,0,2
Sat 29 Apr 19:50  finished,6847,Al-Wahda,1317,Al-Hilal,1,25,2016/2017,1,3
Thu 20 Oct 18:55  finished,6775,Al-Quadisiya,1317,Al-Hilal,1,6,2011/2012,4,5
Sun 06 Mar 16:25  finished,6775,Al-Quadisiya,1317,Al-Hilal,1,19,2015/2016,0,0
Sun 13 Apr 19:30  finished,1316,Al-Ittihad,1317,Al-Hilal,1,22,2007/2008,0,1
Thu 11 Feb 16:35  finished,6773,Al-Raed,1317,Al-Hilal,1,16,2015/2016,0,1
Thu 26 Oct 18:50  finished,6780,Al-Nassr,1317,Al-Hilal,1,8,2017/2018,1,2
Wed 28 Jan 18:15  finished,6777,Al-Faisaly,1317,Al-Hilal,1,9,2014/2015,2,2
Sun 06 Mar 18:25  finished,6770,Al-Ahli,1317,Al-Hilal,1,19,2010/2011,1,1
Mon 01 Dec 17:35  finished,1316,Al-Ittihad,1317,Al-Hilal,1,10,2014/2015,0,0
Sat 29 Aug 17:45  finished,6772,Al-Fateh,1317,Al-Hilal,1,2,2015/2016,1,2
Mon 07 Jan 17:35  finished,6847,Al-Wahda,1317,Al-Hilal,1,5,2007/2008,0,1
Sat 13 Dec 17:40  finished,6780,Al-Nassr,1317,Al-Hilal,1,12,2014/2015,1,0
Mon 18 Feb 18:10  finished,6770,Al-Ahli,1317,Al-Hilal,1,4,2007/2008,1,2
Fri 10 Dec 17:35  finished,6778,Al-Taawon,1317,Al-Hilal,1,14,2010/2011,2,2
Sun 10 Dec 17:40  finished,6772,Al-Fateh,1317,Al-Hilal,1,13,2017/2018,0,0
Sat 21 Feb 18:40  finished,6770,Al-Ahli,1317,Al-Hilal,1,16,2014/2015,1,1
Tue 06 Nov 17:45  finished,6780,Al-Nassr,1317,Al-Hilal,1,2,2007/2008,1,3
Mon 01 Jan 17:50  finished,6777,Al-Faisaly,1317,Al-Hilal,1,10,2017/2018,1,1
Sun 26 Apr 20:00  finished,6773,Al-Raed,1317,Al-Hilal,1,24,2014/2015,1,1
Sun 22 Mar 16:45  finished,6774,Al-Shabab,1317,Al-Hilal,1,20,2014/2015,0,1
Thu 23 Dec 17:40  finished,6777,Al-Faisaly,1317,Al-Hilal,1,16,2010/2011,2,3
Sat 04 Apr 20:00  finished,6778,Al-Taawon,1317,Al-Hilal,1,21,2014/2015,0,1
Fri 25 Feb 18:20  finished,6772,Al-Fateh,1317,Al-Hilal,1,18,2010/2011,1,2
Sun 24 Apr 19:40  finished,6780,Al-Nassr,1317,Al-Hilal,1,23,2010/2011,0,1
Sat 25 Jan 13:45  finished,6773,Al-Raed,1317,Al-Hilal,1,19,2013/2014,0,1
Sun 15 May 19:50  finished,6775,Al-Quadisiya,1317,Al-Hilal,1,25,2010/2011,0,2
Fri 27 Nov 18:00  finished,6774,Al-Shabab,1317,Al-Hilal,1,9,2015/2016,0,1
Mon 21 Feb 18:15  finished,6774,Al-Shabab,1317,Al-Hilal,1,9,2010/2011,0,2
Fri 04 Apr 19:25  finished,6774,Al-Shabab,1317,Al-Hilal,1,10,2007/2008,1,1
Thu 06 Feb 18:20  finished,6774,Al-Shabab,1317,Al-Hilal,1,21,2013/2014,1,0
Fri 21 Feb 18:20  finished,6780,Al-Nassr,1317,Al-Hilal,1,23,2013/2014,3,4
Tue 05 Dec 17:40  finished,6773,Al-Raed,1317,Al-Hilal,1,6,2017/2018,0,3
Thu 24 Dec 18:00  finished,6780,Al-Nassr,1317,Al-Hilal,1,7,2015/2016,1,2
Thu 28 Oct 18:45  finished,6773,Al-Raed,1317,Al-Hilal,1,11,2010/2011,0,4
Sun 17 Dec 17:40  finished,10483,Al-Feiha,1317,Al-Hilal,1,14,2017/2018,2,1
Sun 06 Apr 19:35  finished,6772,Al-Fateh,1317,Al-Hilal,1,26,2013/2014,0,1
Fri 30 Oct 18:30  finished,1316,Al-Ittihad,1317,Al-Hilal,1,5,2015/2016,4,3
Thu 18 Oct 18:45  finished,6775,Al-Quadisiya,1317,Al-Hilal,1,7,2007/2008,2,4
Fri 01 Apr 19:35  finished,5680,Al-Ittifaq,1317,Al-Hilal,1,21,2010/2011,2,3
Wed 24 Sep 19:15  finished,6772,Al-Fateh,1317,Al-Hilal,1,6,2014/2015,1,2
Thu 28 Dec 13:45  finished,9624,Ohod,1317,Al-Hilal,1,16,2017/2018,1,4
Thu 21 Sep 19:20  finished,1316,Al-Ittihad,1317,Al-Hilal,1,4,2017/2018,1,1
Fri 19 Aug 20:05  finished,6778,Al-Taawon,1317,Al-Hilal,1,2,2016/2017,0,2
Wed 28 Jan 18:05  finished,6770,Al-Ahli,1317,Al-Hilal,1,16,2008/2009,0,1
Thu 05 Mar 18:25  finished,6774,Al-Shabab,1317,Al-Hilal,1,21,2008/2009,1,1
Sun 09 Dec 17:35  finished,1316,Al-Ittihad,1317,Al-Hilal,1,10,2012/2013,1,2
Thu 19 Jan 18:00  finished,6770,Al-Ahli,1317,Al-Hilal,1,17,2011/2012,1,0
Wed 13 Jan 17:55  finished,6772,Al-Fateh,1317,Al-Hilal,1,17,2009/2010,0,4
Sun 29 Aug 21:15  finished,6847,Al-Wahda,1317,Al-Hilal,1,4,2010/2011,1,3
Sun 07 Oct 19:00  finished,6847,Al-Wahda,1317,Al-Hilal,1,9,2012/2013,1,2
Sun 05 Mar 18:30  finished,1316,Al-Ittihad,1317,Al-Hilal,1,20,2016/2017,1,3
Thu 22 Sep 19:25  finished,6775,Al-Quadisiya,1317,Al-Hilal,1,4,2016/2017,1,2
Fri 23 Jan 18:00  finished,6780,Al-Nassr,1317,Al-Hilal,1,19,2008/2009,0,2
Wed 04 Jan 17:50  finished,6774,Al-Shabab,1317,Al-Hilal,1,15,2011/2012,0,0
Mon 23 Mar 18:25  finished,6847,Al-Wahda,1317,Al-Hilal,1,18,2008/2009,0,1
Sat 28 Jan 18:15  finished,5680,Al-Ittifaq,1317,Al-Hilal,1,16,2016/2017,0,1
Thu 09 Feb 18:15  finished,6777,Al-Faisaly,1317,Al-Hilal,1,18,2016/2017,0,2
Fri 14 Dec 12:55  finished,6772,Al-Fateh,1317,Al-Hilal,1,15,2012/2013,2,1
Sun 24 Jan 18:00  finished,6846,Al-Hazm,1317,Al-Hilal,1,19,2009/2010,0,2
Mon 12 Mar 18:25  finished,6773,Al-Raed,1317,Al-Hilal,1,21,2011/2012,1,1
Wed 28 Oct 17:45  finished,6773,Al-Raed,1317,Al-Hilal,1,7,2009/2010,0,2
Fri 25 Nov 18:00  finished,6770,Al-Ahli,1317,Al-Hilal,1,10,2016/2017,1,2
Thu 29 Mar 19:30  finished,6772,Al-Fateh,1317,Al-Hilal,1,24,2011/2012,0,5
Sat 05 Nov 18:00  finished,6772,Al-Fateh,1317,Al-Hilal,1,8,2016/2017,0,1
Sun 18 Oct 18:50  finished,6770,Al-Ahli,1317,Al-Hilal,1,5,2009/2010,1,2
Sat 21 Nov 17:35  finished,5680,Al-Ittifaq,1317,Al-Hilal,1,9,2009/2010,0,2
Thu 31 Dec 13:20  finished,6780,Al-Nassr,1317,Al-Hilal,1,15,2009/2010,2,1
Sat 10 Nov 17:40  finished,6778,Al-Taawon,1317,Al-Hilal,1,12,2012/2013,1,4
Tue 14 Feb 18:20  finished,1316,Al-Ittihad,1317,Al-Hilal,1,20,2011/2012,0,2
Fri 16 Dec 18:00  finished,6780,Al-Nassr,1317,Al-Hilal,1,13,2016/2017,1,1
Wed 19 Aug 19:45  finished,6775,Al-Quadisiya,1317,Al-Hilal,1,1,2009/2010,1,2
Wed 21 Dec 15:40  finished,9623,Al-Baten,1317,Al-Hilal,1,14,2016/2017,0,2
Thu 24 Sep 19:10  finished,6847,Al-Wahda,1317,Al-Hilal,1,3,2009/2010,1,2
Fri 09 Mar 18:30  finished,5680,Al-Ittifaq,1317,Al-Hilal,1,24,2017/2018,2,1
Mon 18 Feb 18:15  finished,6774,Al-Shabab,1317,Al-Hilal,1,20,2012/2013,3,2
Sun 03 Mar 18:25  finished,6773,Al-Raed,1317,Al-Hilal,1,21,2012/2013,1,2
Mon 15 Dec 17:40  finished,6773,Al-Raed,1317,Al-Hilal,1,13,2008/2009,0,2
Thu 04 Dec 17:40  finished,1316,Al-Ittihad,1317,Al-Hilal,1,11,2008/2009,0,0
Thu 15 Dec 17:35  finished,5680,Al-Ittifaq,1317,Al-Hilal,1,13,2011/2012,2,2
Fri 25 Jan 17:55  finished,5680,Al-Ittifaq,1317,Al-Hilal,1,17,2012/2013,2,2
Sat 07 Apr 19:40  finished,6770,Al-Ahli,1317,Al-Hilal,1,25,2017/2018,0,0
Sun 24 Apr 20:15  finished,6770,Al-Ahli,1317,Al-Hilal,1,24,2015/2016,3,1
Sun 14 Mar 18:30  finished,6774,Al-Shabab,1317,Al-Hilal,1,21,2009/2010,1,2
Sat 22 Nov 17:40  finished,5680,Al-Ittifaq,1317,Al-Hilal,1,9,2008/2009,0,2
Thu 18 Mar 18:30  finished,1316,Al-Ittihad,1317,Al-Hilal,1,22,2009/2010,2,1
Sun 14 Apr 19:35  finished,6777,Al-Faisaly,1317,Al-Hilal,1,24,2012/2013,0,1
Thu 13 Mar 18:20  finished,6774,Al-Shabab,5680,Al-Ittifaq,1,19,2007/2008,2,1
Sat 28 Dec 13:15  finished,1317,Al-Hilal,5680,Al-Ittifaq,1,15,2013/2014,5,1
Tue 24 Aug 21:00  finished,6774,Al-Shabab,5680,Al-Ittifaq,1,3,2010/2011,2,1
Sat 29 Apr 19:50  finished,6775,Al-Quadisiya,5680,Al-Ittifaq,1,25,2016/2017,1,1
Sun 13 Apr 19:30  finished,6780,Al-Nassr,5680,Al-Ittifaq,1,22,2007/2008,0,3
Sat 07 Dec 13:10  finished,6777,Al-Faisaly,5680,Al-Ittifaq,1,12,2013/2014,0,3
Tue 01 Nov 17:45  finished,6770,Al-Ahli,5680,Al-Ittifaq,1,8,2011/2012,0,0
Thu 13 Apr 18:00  finished,6777,Al-Faisaly,5680,Al-Ittifaq,1,23,2016/2017,3,3
Fri 21 Oct 18:50  finished,6780,Al-Nassr,5680,Al-Ittifaq,1,6,2011/2012,1,3
Wed 08 Oct 19:00  finished,6774,Al-Shabab,5680,Al-Ittifaq,1,4,2008/2009,1,0
Fri 06 Apr 19:40  finished,1316,Al-Ittihad,5680,Al-Ittifaq,1,25,2017/2018,4,2
Sat 24 Aug 19:40  finished,6773,Al-Raed,5680,Al-Ittifaq,1,1,2013/2014,2,1
Fri 17 Feb 18:25  finished,6847,Al-Wahda,5680,Al-Ittifaq,1,19,2016/2017,2,1
Fri 09 Dec 13:10  finished,6777,Al-Faisaly,5680,Al-Ittifaq,1,12,2011/2012,1,4
Tue 04 Nov 17:45  finished,6770,Al-Ahli,5680,Al-Ittifaq,1,7,2008/2009,1,1
Wed 06 Nov 17:45  finished,6780,Al-Nassr,5680,Al-Ittifaq,1,9,2013/2014,2,2
Wed 30 Nov 17:35  finished,6774,Al-Shabab,5680,Al-Ittifaq,1,11,2011/2012,1,0
Mon 27 Aug 19:40  finished,1317,Al-Hilal,5680,Al-Ittifaq,1,4,2012/2013,1,1
Sat 14 Aug 21:15  finished,1316,Al-Ittihad,5680,Al-Ittifaq,1,1,2010/2011,2,1
Fri 01 Nov 17:40  finished,1316,Al-Ittihad,5680,Al-Ittifaq,1,8,2013/2014,1,1
Thu 18 Sep 21:15  finished,6846,Al-Hazm,5680,Al-Ittifaq,1,2,2008/2009,1,1
Fri 16 Feb 13:55  finished,6773,Al-Raed,5680,Al-Ittifaq,1,22,2017/2018,0,1
Wed 22 Sep 19:15  finished,6847,Al-Wahda,5680,Al-Ittifaq,1,6,2010/2011,0,1
