Team,Game Played,Goals for ,AVG Goals for,Goals Against,AVG Goals Against
Al-Ahli,13,24,1.846153846,22,1.692307692
Al-Baten,13,14,1.076923077,23,1.769230769
Al-Faisaly,13,23,1.769230769,22,1.692307692
Al-Fateh,13,18,1.384615385,16,1.230769231
Al-Feiha,13,17,1.307692308,22,1.692307692
Al-Hazm,13,13,1,23,1.769230769
Al-Hilal,13,30,2.307692308,9,0.692307692
Al-Ittifaq,13,27,2.076923077,25,1.923076923
Al-Ittihad,13,11,0.846153846,17,1.307692308
Al-Nassr,13,25,1.923076923,12,0.923076923
Al-Quadisiya,13,12,0.923076923,26,2
Al-Raed,13,9,0.692307692,24,1.846153846
Al-Shabab,13,19,1.461538462,7,0.538461538
Al-Taawon,13,34,2.615384615,12,0.923076923
Al-Wahda,13,15,1.153846154,14,1.076923077
Ohod,13,13,1,30,2.307692308